94,253,485,511,
103,275,375,511,
25,292,407,511,
3,197,411,511,
184,290,411,511,
25,49,71,511,
185,304,411,511,
109,198,382,511,
67,169,283,511,
19,45,294,511,
30,264,329,511,
491,494,503,511,
269,273,278,511,
241,251,504,511,
217,229,504,511,
202,204,482,511,
398,480,499,511,
128,291,427,511,
128,199,484,511,
104,330,429,511,
102,238,321,511,
94,253,485,511,
103,275,375,511,
25,292,407,511,
3,197,411,511,
184,290,411,511,
25,49,71,511,
185,304,411,511,
109,198,382,511,
67,169,283,511,
19,45,294,511,
30,264,329,511,
491,494,503,511,
269,273,278,511,
241,251,504,511,
217,229,504,511,
202,204,482,511,
398,480,499,511,
128,291,427,511,
128,199,484,511,
104,330,429,511,
102,238,321,511,
94,253,485,511,
103,275,375,511,
25,292,407,511,
3,197,411,511,
184,290,411,511,
25,49,71,511,
185,304,411,511,
109,198,382,511,
67,169,283,511,
19,45,294,511,
30,264,329,511,
491,494,503,511,
269,273,278,511,
241,251,504,511,
217,229,504,511,
202,204,482,511,
398,480,499,511,
128,291,427,511,
128,199,484,511,
104,330,429,511,
102,238,321,511,
94,253,485,511,
103,275,375,511,
25,292,407,511,
3,197,411,511,
184,290,411,511,
25,49,71,511,
185,304,411,511,
109,198,382,511,
67,169,283,511,
19,45,294,511,
30,264,329,511,
491,494,503,511,
269,273,278,511,
241,251,504,511,
217,229,504,511,
202,204,482,511,
398,480,499,511,
128,291,427,511,
128,199,484,511,
104,330,429,511,
102,238,321,511,
